Logger,Plot,Timestamp,Variable,Value,Depth_cm
12,Control,2026-06-07T14:50:00Z,PerAirSat,NA,5
12,Control,2026-06-07T14:50:00Z,Temp,NA,5
12,Control,2026-06-07T14:50:00Z,PerAirSat,NA,15
12,Control,2026-06-07T14:50:00Z,Temp,NA,15
12,Control,2026-06-07T14:50:00Z,PerAirSat,NA,30
12,Control,2026-06-07T14:50:00Z,Temp,NA,30
12,Control,2026-06-07T14:50:00Z,PerAirSat,NA,50
12,Control,2026-06-07T14:50:00Z,Temp,NA,50
12,Control,2026-06-07T15:00:00Z,PerAirSat,NA,5
12,Control,2026-06-07T15:00:00Z,Temp,NA,5
12,Control,2026-06-07T15:00:00Z,PerAirSat,NA,15
12,Control,2026-06-07T15:00:00Z,Temp,NA,15
12,Control,2026-06-07T15:00:00Z,PerAirSat,NA,30
12,Control,2026-06-07T15:00:00Z,Temp,NA,30
12,Control,2026-06-07T15:00:00Z,PerAirSat,NA,50
12,Control,2026-06-07T15:00:00Z,Temp,NA,50
12,Control,2026-06-07T15:10:00Z,PerAirSat,NA,5
12,Control,2026-06-07T15:10:00Z,Temp,NA,5
12,Control,2026-06-07T15:10:00Z,PerAirSat,NA,15
12,Control,2026-06-07T15:10:00Z,Temp,NA,15
12,Control,2026-06-07T15:10:00Z,PerAirSat,NA,30
12,Control,2026-06-07T15:10:00Z,Temp,NA,30
12,Control,2026-06-07T15:10:00Z,PerAirSat,NA,50
12,Control,2026-06-07T15:10:00Z,Temp,NA,50
12,Control,2026-06-07T15:20:00Z,PerAirSat,NA,5
12,Control,2026-06-07T15:20:00Z,Temp,NA,5
12,Control,2026-06-07T15:20:00Z,PerAirSat,NA,15
12,Control,2026-06-07T15:20:00Z,Temp,NA,15
12,Control,2026-06-07T15:20:00Z,PerAirSat,NA,30
12,Control,2026-06-07T15:20:00Z,Temp,NA,30
12,Control,2026-06-07T15:20:00Z,PerAirSat,NA,50
12,Control,2026-06-07T15:20:00Z,Temp,NA,50
12,Control,2026-06-07T15:30:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T15:30:00Z,Temp,17.94,5
12,Control,2026-06-07T15:30:00Z,PerAirSat,102,15
12,Control,2026-06-07T15:30:00Z,Temp,17.94,15
12,Control,2026-06-07T15:30:00Z,PerAirSat,94.8,30
12,Control,2026-06-07T15:30:00Z,Temp,17.94,30
12,Control,2026-06-07T15:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T15:30:00Z,Temp,17.94,50
12,Control,2026-06-07T15:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T15:40:00Z,Temp,18.02,5
12,Control,2026-06-07T15:40:00Z,PerAirSat,101.7,15
12,Control,2026-06-07T15:40:00Z,Temp,18.02,15
12,Control,2026-06-07T15:40:00Z,PerAirSat,94.7,30
12,Control,2026-06-07T15:40:00Z,Temp,18.02,30
12,Control,2026-06-07T15:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T15:40:00Z,Temp,18.02,50
12,Control,2026-06-07T15:50:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T15:50:00Z,Temp,18.09,5
12,Control,2026-06-07T15:50:00Z,PerAirSat,101.6,15
12,Control,2026-06-07T15:50:00Z,Temp,18.09,15
12,Control,2026-06-07T15:50:00Z,PerAirSat,94.7,30
12,Control,2026-06-07T15:50:00Z,Temp,18.09,30
12,Control,2026-06-07T15:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T15:50:00Z,Temp,18.09,50
12,Control,2026-06-07T16:00:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T16:00:00Z,Temp,18.17,5
12,Control,2026-06-07T16:00:00Z,PerAirSat,101.3,15
12,Control,2026-06-07T16:00:00Z,Temp,18.17,15
12,Control,2026-06-07T16:00:00Z,PerAirSat,94.7,30
12,Control,2026-06-07T16:00:00Z,Temp,18.17,30
12,Control,2026-06-07T16:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:00:00Z,Temp,18.17,50
12,Control,2026-06-07T16:10:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T16:10:00Z,Temp,18.25,5
12,Control,2026-06-07T16:10:00Z,PerAirSat,101.3,15
12,Control,2026-06-07T16:10:00Z,Temp,18.25,15
12,Control,2026-06-07T16:10:00Z,PerAirSat,94.6,30
12,Control,2026-06-07T16:10:00Z,Temp,18.25,30
12,Control,2026-06-07T16:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:10:00Z,Temp,18.25,50
12,Control,2026-06-07T16:20:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T16:20:00Z,Temp,18.32,5
12,Control,2026-06-07T16:20:00Z,PerAirSat,101.1,15
12,Control,2026-06-07T16:20:00Z,Temp,18.32,15
12,Control,2026-06-07T16:20:00Z,PerAirSat,94.6,30
12,Control,2026-06-07T16:20:00Z,Temp,18.32,30
12,Control,2026-06-07T16:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:20:00Z,Temp,18.32,50
12,Control,2026-06-07T16:30:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T16:30:00Z,Temp,18.39,5
12,Control,2026-06-07T16:30:00Z,PerAirSat,101,15
12,Control,2026-06-07T16:30:00Z,Temp,18.39,15
12,Control,2026-06-07T16:30:00Z,PerAirSat,94.5,30
12,Control,2026-06-07T16:30:00Z,Temp,18.39,30
12,Control,2026-06-07T16:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:30:00Z,Temp,18.39,50
12,Control,2026-06-07T16:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T16:40:00Z,Temp,18.45,5
12,Control,2026-06-07T16:40:00Z,PerAirSat,100.8,15
12,Control,2026-06-07T16:40:00Z,Temp,18.45,15
12,Control,2026-06-07T16:40:00Z,PerAirSat,94.4,30
12,Control,2026-06-07T16:40:00Z,Temp,18.45,30
12,Control,2026-06-07T16:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:40:00Z,Temp,18.45,50
12,Control,2026-06-07T16:50:00Z,PerAirSat,103,5
12,Control,2026-06-07T16:50:00Z,Temp,18.52,5
12,Control,2026-06-07T16:50:00Z,PerAirSat,100.7,15
12,Control,2026-06-07T16:50:00Z,Temp,18.51,15
12,Control,2026-06-07T16:50:00Z,PerAirSat,94.4,30
12,Control,2026-06-07T16:50:00Z,Temp,18.52,30
